ID,索引,表名,最后更新,列族代码,生成的编号,说明
203,JH_RHHV_WOMEN_ARCHIVES,JHPDL:JH_RHHV_WOMEN_ARCHIVES,2024-07-18,VBG,VBG.000.000.001,孕妇档案表
204,JH_RHHV_WOMEN_BABY,JHPDL:JH_RHHV_WOMEN_BABY,2024-07-18,VBH,VBH.000.000.001,孕妇管理胎儿信息
205,JH_RHHV_WOMEN_FOLLOW_CHDOCTOR,JHPDL:JH_RHHV_WOMEN_FOLLOW_CHDOCTOR,2024-07-18,VBI,VBI.000.000.001,孕妇随访中医辨体
206,JH_RHHV_WOMEN_FOLLOW_RECORD,JHPDL:JH_RHHV_WOMEN_FOLLOW_RECORD,2024-07-18,VBJ,VBJ.000.000.001,孕妇随访记录
207,JH_RHHV_WOMEN_FIRST_FOLLOW,JHPDL:JH_RHHV_WOMEN_FIRST_FOLLOW,2024-07-18,VBK,VBK.000.000.001,孕妇首次随访表
208,JH_RHHV_CITIZEN_CARD,JHPDL:JH_RHHV_CITIZEN_CARD,2024-07-18,VBL,VBL.000.000.001,市民卡信息
209,JH_RHHV_CITIZEN_CARD_OWN,JHPDL:JH_RHHV_CITIZEN_CARD_OWN,2024-07-18,VBM,VBM.000.000.001,市民卡持有者信息
210,JH_RHHV_CHRONIC_EXEC_MARK,JHPDL:JH_RHHV_CHRONIC_EXEC_MARK,2024-07-18,VBN,VBN.000.000.001,慢病优良标记
211,JH_RHHV_CHRONIC_EDU_TEMP,JHPDL:JH_RHHV_CHRONIC_EDU_TEMP,2024-07-18,VBO,VBO.000.000.001,慢病健康教育模板
212,JH_RHHV_CHRONIC_YEAR_ASSESS,JHPDL:JH_RHHV_CHRONIC_YEAR_ASSESS,2024-07-18,VBP,VBP.000.000.001,慢病年度评估
213,JH_RHHV_CHRONIC_YEAR_TAKMED,JHPDL:JH_RHHV_CHRONIC_YEAR_TAKMED,2024-07-18,VBQ,VBQ.000.000.001,慢病年度评做服药情况
214,JH_RHHV_CHRONIC_ARCHIVES_TRANS,JHPDL:JH_RHHV_CHRONIC_ARCHIVES_TRANS,2024-07-18,VBR,VBR.000.000.001,慢病档案迁移
215,JH_RHHV_REGIST_TRANS_RECORD,JHPDL:JH_RHHV_REGIST_TRANS_RECORD,2024-07-18,VBS,VBS.000.000.001,户口迁移记录
216,JH_RHHV_BATCH_ARCHIVES_TRANS_RECORD_DETAIL,JHPDL:JH_RHHV_BATCH_ARCHIVES_TRANS_RECORD_DETAIL,2024-06-06,VBT,VBT.000.000.001,批量档案迁移明细
217,JH_RHHV_BATCH_ARCHIVES_TRANS_RECORD,JHPDL:JH_RHHV_BATCH_ARCHIVES_TRANS_RECORD,2024-06-06,VBU,VBU.000.000.001,批量档案迁移记录
218,JH_RHHV_VACC_RECORD,JHPDL:JH_RHHV_VACC_RECORD,2024-07-18,VBV,VBV.000.000.001,接种记录
219,JH_RHHV_NEW_BORN_VISIT_BASE,JHPDL:JH_RHHV_NEW_BORN_VISIT_BASE,2024-07-18,VBW,VBW.000.000.001,新生儿访视基本信息
220,JH_RHHV_NEW_BORN_VISIT_RECORD,JHPDL:JH_RHHV_NEW_BORN_VISIT_RECORD,2024-07-18,VBX,VBX.000.000.001,新生儿访视记录
221,JH_RHHV_ARCHIVES_TRANS_RECORD,JHPDL:JH_RHHV_ARCHIVES_TRANS_RECORD,2024-07-18,VBY,VBY.000.000.001,档案迁移记录
222,JH_RHHV_DIABETES_CHDOCTOR_TRAND,JHPDL:JH_RHHV_DIABETES_CHDOCTOR_TRAND,2024-07-18,VBZ,VBZ.000.000.001,糖尿病中医辨体
223,JH_RHHV_DIABETES_HEALTH_EDU,JHPDL:JH_RHHV_DIABETES_HEALTH_EDU,2024-07-18,VCA,VCA.000.000.001,糖尿病健康教育
224,JH_RHHV_DIABETES_HEALTH_MANAGE,JHPDL:JH_RHHV_DIABETES_HEALTH_MANAGE,2024-07-18,VCB,VCB.000.000.001,糖尿病健康管理
225,JH_RHHV_DIABETES_HEALTH_TRANS,JHPDL:JH_RHHV_DIABETES_HEALTH_TRANS,2024-07-18,VCC,VCC.000.000.001,糖尿病定转级信息
226,JH_RHHV_DIABETES_COMPLICATIONS,JHPDL:JH_RHHV_DIABETES_COMPLICATIONS,2024-07-18,VCD,VCD.000.000.001,糖尿病并发症
227,JH_RHHV_DIABETES_CONTROL_OBJ,JHPDL:JH_RHHV_DIABETES_CONTROL_OBJ,2024-07-18,VCE,VCE.000.000.001,糖尿病控制目标（标准）
228,JH_RHHV_DIABETES_INQUIRT_RECORD,JHPDL:JH_RHHV_DIABETES_INQUIRT_RECORD,2024-07-18,VCF,VCF.000.000.001,糖尿病询问记录
229,JH_RHHV_OLD_PHYSICAL_EXAM,JHPDL:JH_RHHV_OLD_PHYSICAL_EXAM,2024-07-18,VCG,VCG.000.000.001,老年人体检
230,JH_RHHV_OLD_ARCHIVES,JHPDL:JH_RHHV_OLD_ARCHIVES,2024-07-18,VCH,VCH.000.000.001,老年人档案
231,JH_RHHV_OLD_FOLLOW_CHDOCTOR,JHPDL:JH_RHHV_OLD_FOLLOW_CHDOCTOR,2024-07-18,VCI,VCI.000.000.001,老年人随访中医辨体
232,JH_RHHV_OLD_FOLLOW_RECORD,JHPDL:JH_RHHV_OLD_FOLLOW_RECORD,2024-07-18,VCJ,VCJ.000.000.001,老年人随访记录
233,JH_RHHV_INSP_OLD_HEALTH,JHPDL:JH_RHHV_INSP_OLD_HEALTH,2024-07-18,VCK,VCK.000.000.001,迎检老年人健康管理
234,JH_RHHV_FOLLOW_UP,JHPDL:JH_RHHV_FOLLOW_UP,2024-07-18,VCL,VCL.000.000.001,随访计划
235,JH_RHHV_HYPERTENSION_CHDOCTOR,JHPDL:JH_RHHV_HYPERTENSION_CHDOCTOR,2024-07-18,VCM,VCM.000.000.001,高血压中医辨体
236,JH_RHHV_HYPERTENSION_HEALTH_EDU,JHPDL:JH_RHHV_HYPERTENSION_HEALTH_EDU,2024-07-18,VCN,VCN.000.000.001,高血压健康教育
237,JH_RHHV_HYPERTENSION_HEALTH_MANAGE,JHPDL:JH_RHHV_HYPERTENSION_HEALTH_MANAGE,2024-07-18,VCO,VCO.000.000.001,高血压健康管理
238,JH_RHHV_HYPERTENSION_TRANS,JHPDL:JH_RHHV_HYPERTENSION_TRANS,2024-07-18,VCP,VCP.000.000.001,高血压定转级信息
239,JH_RHHV_HYPERTENSION_BLOOD,JHPDL:JH_RHHV_HYPERTENSION_BLOOD,2024-07-18,VCQ,VCQ.000.000.001,高血压血糖记录
240,JH_RHHV_SIGNING_INFO,JHPDL:JH_RHHV_SIGNING_INFO,2024-07-18,VCR,VCR.000.000.001,签约基本信息
241,JH_RHHV_REPORT_INFO,JHPDL:JH_RHHV_REPORT_INFO,2024-07-18,VCS,VCS.000.000.001,填报数据
242,JH_RHHV_REGION_INFO,JHPDL:JH_RHHV_REGION_INFO,2024-07-18,VCT,VCT.000.000.001,网格地址(行政辖区网格)
243,JH_RHHV_HYPERTENSION_FOLLOW_RECORD,JHPDL:JH_RHHV_HYPERTENSION_FOLLOW_RECORD,2024-07-18,VCU,VCU.000.000.001,高血压随访记录
244,JH_RHHV_CHRONIC_DRUG,JHPDL:JH_RHHV_CHRONIC_DRUG,2024-07-18,VCV,VCV.000.000.001,高血压/糖尿病患者随访信息_用药
245,JH_RHHV_DIABETES_FOLLOW_RECORD,JHPDL:JH_RHHV_DIABETES_FOLLOW_RECORD,2024-12-31,VCW,VCW.000.000.001,糖尿病随访记录
246,JH_RHHV_WOMAN_PREFIRSTVISIT,JHPDL:JH_RHHV_WOMAN_PREFIRSTVISIT,2024-07-18,VCX,VCX.000.000.001,第一次产前随访服务信息
247,JH_RHHV_WOMAN_PREFIRST_PERSONAL,JHPDL:JH_RHHV_WOMAN_PREFIRST_PERSONAL,2024-07-18,VCY,VCY.000.000.001,第一次产前随访服务信息_个人史
